question,accuracy,input_tokens,output_tokens,total_tokens,total_cost,retrieval_time,llm_time,total_time,accuracy_per_1k_tokens
Does the candidate have experience working with cloud technologies?,1.0,0.0,0.0,0.0,0.0,0.3849007685979207,0.7131224870681763,1.0980979998906453,0.0
Has the candidate worked in any Fortune 500 companies?,1.0,0.0,0.0,0.0,0.0,0.5093169212341309,0.7030747731526693,1.212469259897868,0.0
List any certifications or professional training mentioned.,1.0,0.0,0.0,0.0,0.0,0.4861743052800496,0.7496203581492106,1.2358698050181072,0.0
What degrees or academic qualifications does the candidate hold?,1.0,0.0,0.0,0.0,0.0,0.46543753147125244,0.7389063040415446,1.2044186194737752,0.0
What is the candidate's most recent job title?,1.0,0.0,0.0,0.0,0.0,0.3860735495885213,0.6163712739944458,1.0025437672932942,0.0
What projects or achievements are highlighted in the resume?,1.0,0.0,0.0,0.0,0.0,0.45440971851348877,1.3836302359898884,1.8381072680155437,0.0
Does the candidate have any leadership or management experience?,0.8333333333333334,0.0,0.0,0.0,0.0,0.33472585678100586,0.9310325384140015,1.265828053156535,0.0
List the programming languages mentioned in the resume.,0.8333333333333334,0.0,0.0,0.0,0.0,0.3339772621790568,0.7776657342910767,1.1117105881373088,0.0
What industries has the candidate worked in?,0.5,0.0,0.0,0.0,0.0,0.4927208026250203,0.775175929069519,1.2679756085077922,0.0
What is the total number of years of professional experience?,0.16666666666666666,0.0,0.0,0.0,0.0,0.4646260738372803,0.5904455582300822,1.0551449457804363,0.0
